,feature,importance
19,CRACK_SPREAD_MA_5,0.7104081393044761
12,CRACK_SPREAD_LAG_1,0.2796112213331487
10,CRACK_SPREAD_111,0.003824762814734773
20,CRACK_SPREAD_STD_5,0.0012464182132565838
30,CRACK_SPREAD_RSI,0.0005994462050756451
18,WTI_STD_5,0.00045319576589963846
16,CRACK_SPREAD_LAG_3,0.0003956758597850763
24,CRACK_SPREAD_STD_10,0.00039342362860896317
28,CRACK_SPREAD_STD_20,0.0002744527292080039
4,VIX,0.00020103515644717974
26,WTI_STD_20,0.00019912842892975377
22,WTI_STD_10,0.0001924373615936325
14,CRACK_SPREAD_LAG_2,0.00019154123132596347
27,CRACK_SPREAD_MA_20,0.0001587670453909971
23,CRACK_SPREAD_MA_10,0.0001566411995517031
29,WTI_RSI,0.0001454160321348056
6,T10Y,0.0001443219830277662
5,DXY,0.00013195576251003233
7,CPI,0.00011714588457569522
3,HEATING_OIL,0.00011622713673119452
9,HEATING_OIL_BTL,0.0001070885185735936
1,BRENT,0.00010366405283380806
33,DAY_OF_WEEK,9.814337432127218e-05
15,WTI_LAG_3,9.026470786683293e-05
25,WTI_MA_20,8.772930654433625e-05
13,WTI_LAG_2,8.194137146319678e-05
32,MONTH,6.684339509474708e-05
0,WTI,6.660947306458914e-05
8,RBOB_BTL,6.331779863545645e-05
2,RBOB,6.149116083565785e-05
11,WTI_LAG_1,5.9477550285923606e-05
21,WTI_MA_10,5.65190170968485e-05
17,WTI_MA_5,4.143410108784725e-05
31,YEAR,3.634562694296957e-05
34,QUARTER,1.7593348418499485e-05
35,IS_WEEKEND,1.8412052214796032e-07
