feature,shap_importance
CRACK_SPREAD_MA_5,59.89941592049378
CRACK_SPREAD_LAG_1,30.972821520172737
CRACK_SPREAD_111,5.853775174235542
CRACK_SPREAD_STD_5,0.5525001351467436
CRACK_SPREAD_RSI,0.43976377052219523
CRACK_SPREAD_LAG_3,0.17468160576303712
CRACK_SPREAD_MA_10,0.1592580949754963
CRACK_SPREAD_MA_20,0.15836392726177825
T10Y,0.12984993403132927
CRACK_SPREAD_STD_20,0.10814307408185676
CRACK_SPREAD_STD_10,0.10621197319315943
WTI_RSI,0.08388294431548365
CRACK_SPREAD_LAG_2,0.08354578395920814
WTI_STD_20,0.07871994651569979
HEATING_OIL_BTL,0.07859910937890784
VIX,0.0753103990731849
WTI_LAG_2,0.06537141014273495
BRENT,0.06317257859222958
HEATING_OIL,0.06286972461187267
WTI_MA_20,0.06213062723712725
RBOB_BTL,0.059790092524146854
WTI_LAG_3,0.056620964494009024
WTI,0.05434219271905445
WTI_MA_10,0.04684682887494255
RBOB,0.04640852220905818
WTI_MA_5,0.03563310286580277
WTI_LAG_1,0.03189038014578929
WTI_STD_10,0.027469976584680835
WTI_STD_5,0.026215872337348695
QUARTER,0.021759800400163853
YEAR,0.016891602939890962
MONTH,0.016415113866459292
CPI,0.006796997850796323
DXY,0.003755870240367587
DAY_OF_WEEK,0.0014508173985818675
IS_WEEKEND,3.9827668813685827e-05
