,feature,importance
19,CRACK_SPREAD_MA_5,0.6719845
12,CRACK_SPREAD_LAG_1,0.30003276
10,CRACK_SPREAD_111,0.014927972
9,HEATING_OIL_BTL,0.0014567671
31,YEAR,0.0011904567
8,RBOB_BTL,0.0007312272
20,CRACK_SPREAD_STD_5,0.0006451791
30,CRACK_SPREAD_RSI,0.00058545294
16,CRACK_SPREAD_LAG_3,0.0005518218
34,QUARTER,0.0005381638
27,CRACK_SPREAD_MA_20,0.0005212845
3,HEATING_OIL,0.00045535542
15,WTI_LAG_3,0.0004197044
2,RBOB,0.00040788547
5,DXY,0.00038908565
17,WTI_MA_5,0.00034518066
7,CPI,0.00034439232
14,CRACK_SPREAD_LAG_2,0.00033661784
25,WTI_MA_20,0.00033475726
0,WTI,0.0003033135
13,WTI_LAG_2,0.00028974388
32,MONTH,0.0002842158
6,T10Y,0.000283207
21,WTI_MA_10,0.00026836377
23,CRACK_SPREAD_MA_10,0.0002573112
18,WTI_STD_5,0.00025570538
28,CRACK_SPREAD_STD_20,0.00024615493
1,BRENT,0.00024127116
4,VIX,0.00023415446
22,WTI_STD_10,0.00022871935
26,WTI_STD_20,0.0002108552
33,DAY_OF_WEEK,0.00020097416
24,CRACK_SPREAD_STD_10,0.00018812009
11,WTI_LAG_1,0.00016238898
29,WTI_RSI,0.00014194357
35,IS_WEEKEND,4.9693303e-06
